dose,time,Cp_a
5,2,703.4559
5,6,609.5769
5,6,543.5779
5,24,535.8472
5,168,269.4267
5,336,199.4357
5,504,151.9172
5,672,120.8018
3,0.25,464.3362
3,2,426.096
3,6,374.5587
3,12,358.8041
3,24,334.0052
3,168,196.5994
3,336,137.4236
3,504,107.7226
3,672,71.10539
1,0.25,149.7567
1,2,139.4062
1,6,124.3126
1,12,101.724
1,24,93.3466
1,168,47.61228
1,336,37.32198
1,504,23.9397
1,672,17.72071
0.5,2,72.13123
0.5,6,67.14585
0.5,12,56.54173
0.5,24,54.16348
0.5,168,24.99086
0.5,336,16.97534
0.5,504,13.11727
0.5,672,8.176279
0.25,0.25,36.26795
0.25,2,38.96075
0.25,6,40.09304
0.25,12,31.88126
0.25,24,31.42785
0.25,168,14.50071
0.25,336,7.39622
0.25,504,5.47485
0.25,672,3.826936
